         rBB           TC       retneg


  0.00400000   0.27520000   8.84030197 
  0.00402002   0.27440000   8.88453751 
  0.00404003   0.27360000   8.92877304 
  0.00406005   0.27280000   8.97300858 
  0.00408006   0.27200000   9.01724412 
  0.00410008   0.27120000   9.06147965 
  0.00412009   0.27048000   9.10571519 
  0.00414011   0.26968000   9.14995073 
  0.00416012   0.26888000   9.19418627 
  0.00418014   0.26816000   9.23842180 
  0.00420015   0.26736000   9.28265734 
  0.00422017   0.26656000   9.32689288 
  0.00424018   0.26584000   9.37112841 
  0.00426020   0.26504000   9.41536395 
  0.00428022   0.26432000   9.45959949 
  0.00430023   0.26360000   9.50383503 
  0.00432025   0.26280000   9.54807056 
  0.00434026   0.26208000   9.59230610 
  0.00436028   0.26136000   9.63654164 
  0.00438029   0.26064000   9.68077718 
  0.00440031   0.25984000   9.72501271 
  0.00442032   0.25912000   9.76924825 
  0.00444034   0.25840000   9.81348379 
  0.00446035   0.25768000   9.85771932 
  0.00448037   0.25696000   9.90195486 
  0.00450038   0.25624000   9.94619040 
  0.00452040   0.25552000   9.99042594 
  0.00454042   0.25480000  10.03466147 
  0.00456043   0.25416000  10.07889701 
  0.00458045   0.25344000  10.12313255 
  0.00460046   0.25272000  10.16736808 
  0.00462048   0.25200000  10.21160362 
  0.00464049   0.25128000  10.25583916 
  0.00466051   0.25064000  10.30007470 
  0.00468052   0.24992000  10.34431023 
  0.00470054   0.24928000  10.38854577 
  0.00472055   0.24856000  10.43278131 
  0.00474057   0.24784000  10.47701684 
  0.00476059   0.24720000  10.52125238 
  0.00478060   0.24648000  10.56548792 
  0.00480062   0.24584000  10.60972346 
  0.00482063   0.24520000  10.65395899 
  0.00484065   0.24448000  10.69819453 
  0.00486066   0.24384000  10.74243007 
  0.00488068   0.24320000  10.78666560 
  0.00490069   0.24248000  10.83090114 
  0.00492071   0.24184000  10.87513668 
  0.00494072   0.24120000  10.91937222 
  0.00496074   0.24056000  10.96360775 
  0.00498075   0.23992000  11.00784329 
  0.00500077   0.23928000  11.05207883 
  0.00502079   0.23864000  11.09631436 
  0.00504080   0.23792000  11.14054990 
  0.00506082   0.23728000  11.18478544 
  0.00508083   0.23664000  11.22902098 
  0.00510085   0.23608000  11.27325651 
  0.00512086   0.23544000  11.31749205 
  0.00514088   0.23480000  11.36172759 
  0.00516089   0.23416000  11.40596313 
  0.00518091   0.23352000  11.45019866 
  0.00520092   0.23288000  11.49443420 
  0.00522094   0.23232000  11.53866974 
  0.00524095   0.23168000  11.58290527 
  0.00526097   0.23104000  11.62714081 
  0.00528099   0.23040000  11.67137635 
  0.00530100   0.22984000  11.71561189 
  0.00532102   0.22920000  11.75984742 
  0.00534103   0.22864000  11.80408296 
  0.00536105   0.22800000  11.84831850 
  0.00538106   0.22736000  11.89255403 
  0.00540108   0.22680000  11.93678957 
  0.00542109   0.22616000  11.98102511 
  0.00544111   0.22560000  12.02526065 
  0.00546112   0.22504000  12.06949618 
  0.00548114   0.22440000  12.11373172 
  0.00550115   0.22384000  12.15796726 
  0.00552117   0.22328000  12.20220279 
  0.00554119   0.22264000  12.24643833 
  0.00556120   0.22208000  12.29067387 
