         rBF           TC


  0.10000000   0.12990000
  0.09989990   0.12910000
  0.09979980   0.12830000
  0.09969970   0.12755000
  0.09959960   0.12675000
  0.09949949   0.12595000
  0.09939939   0.12520000
  0.09929929   0.12440000
  0.09919919   0.12365000
  0.09909909   0.12285000
  0.09899899   0.12210000
  0.09889889   0.12135000
  0.09879879   0.12055000
  0.09869869   0.11980000
  0.09859858   0.11905000
  0.09849848   0.11830000
  0.09839838   0.11755000
  0.09829828   0.11680000
  0.09819818   0.11605000
  0.09809808   0.11530000
  0.09799798   0.11460000
  0.09789788   0.11385000
  0.09779778   0.11310000
  0.09769767   0.11240000
  0.09759757   0.11165000
  0.09749747   0.11095000
  0.09739737   0.11020000
  0.09729727   0.10950000
  0.09719717   0.10880000
  0.09709707   0.10805000
  0.09699697   0.10735000
  0.09689687   0.10665000
  0.09679676   0.10595000
  0.09669666   0.10525000
  0.09659656   0.10455000
  0.09649646   0.10385000
  0.09639636   0.10315000
  0.09629626   0.10245000
  0.09619616   0.10180000
  0.09609606   0.10110000
  0.09599596   0.10040000
  0.09589585   0.09975000
  0.09579575   0.09905000
  0.09569565   0.09840000
  0.09559555   0.09775000
  0.09549545   0.09705000
  0.09539535   0.09640000
  0.09529525   0.09575000
  0.09519515   0.09510000
  0.09509505   0.09445000
  0.09499494   0.09380000
  0.09489484   0.09315000
  0.09479474   0.09250000
  0.09469464   0.09185000
  0.09459454   0.09120000
  0.09449444   0.09055000
  0.09439434   0.08995000
  0.09429424   0.08930000
  0.09419414   0.08865000
  0.09409403   0.08805000
  0.09399393   0.08740000
  0.09389383   0.08680000
  0.09379373   0.08620000
  0.09369363   0.08555000
  0.09359353   0.08495000
  0.09349343   0.08435000
  0.09339333   0.08375000
  0.09329323   0.08315000
  0.09319312   0.08255000
  0.09309302   0.08195000
  0.09299292   0.08135000
  0.09289282   0.08075000
  0.09279272   0.08020000
  0.09269262   0.07960000
  0.09259252   0.07900000
  0.09249242   0.07845000
  0.09239232   0.07785000
  0.09229221   0.07730000
  0.09219211   0.07675000
  0.09209201   0.07615000
  0.09199191   0.07560000
  0.09189181   0.07505000
  0.09179171   0.07450000
  0.09169161   0.07395000
  0.09159151   0.07340000
  0.09149141   0.07285000
  0.09139130   0.07230000
  0.09129120   0.07175000
  0.09119110   0.07120000
  0.09109100   0.07065000
  0.09099090   0.07015000
  0.09089080   0.06960000
  0.09079070   0.06910000
  0.09069060   0.06855000
  0.09059050   0.06805000
  0.09049039   0.06755000
  0.09039029   0.06700000
  0.09029019   0.06650000
  0.09019009   0.06600000
  0.09008999   0.06550000
  0.08998989   0.06500000
  0.08988979   0.06450000
  0.08978969   0.06400000
  0.08968959   0.06350000
  0.08958948   0.06305000
  0.08948938   0.06255000
  0.08938928   0.06205000
  0.08928918   0.06160000
  0.08918908   0.06110000
  0.08908898   0.06065000
  0.08898888   0.06020000
  0.08888878   0.05970000
  0.08878868   0.05925000
  0.08868857   0.05880000
  0.08858847   0.05835000
  0.08848837   0.05790000
  0.08838827   0.05745000
  0.08828817   0.05700000
  0.08818807   0.05655000
  0.08808797   0.05615000
  0.08798787   0.05570000
  0.08788777   0.05525000
  0.08778766   0.05485000
